state_id,tabula_stage,physical_parameter_mode,U_facade_W_m2K,U_roof_W_m2K,U_floor_W_m2K,U_window_W_m2K,U_door_W_m2K,v50_m3_h_m2,ventilation_system,hrv_eta,summer_bypass,source_url,source_locator,accessed_on,applicability_note
TABULA_existing,Existing State,age_and_type_specific,,,,,,,existing_unspecified,,,https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf,"Tables 9 and 10 on printed pages 45-48 / PDF pages 56-59; Table 19 on printed pages 85-86 / PDF pages 96-97",2026-07-27,Physical parameters are read from each base archetype row.
TABULA_standard_B_proxy,Standard Measures,fixed_TABULA_EPB2010_package,0.4,0.3,0.4,2.0,2.9,6.0,exhaust_air_ventilation,0.0,false,https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf,"Section 4.2.3 on printed pages 44-46 / PDF pages 55-57; post-2005 applicability on printed page 54 / PDF page 65; service measures on printed pages 49-50 / PDF pages 60-61",2026-07-27,TABULA states that the EPB2010 upgrade measures are already achieved by the post-2005 class; the same physical values preserve a complete state matrix while post-2005 existing cells are ineligible for medium transitions.
TABULA_advanced_A_proxy,Advanced Measures,fixed_TABULA_low_energy_package,0.25,0.15,0.25,1.6,1.6,2.5,balanced_mechanical_HRV,0.8,true,https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf,"Section 4.2.3 on printed pages 44-46 / PDF pages 55-57; service measures on printed pages 49-50 / PDF pages 60-61",2026-07-27,TABULA applies the Low Energy package to every dwelling type.
