member_id,scenario,weather_pair_id,observed_pvgis_year,climate_target,row_count,member_sha256,metadata_sha256,manifest_sha256,morph_contract_sha256,facade_source_sha256_json,weather_contract_sha256
weather_2050_rcp_2_6_pvgis_2016,rcp_2_6,pvgis_2016,2016,2041-2060,8784,f85555e6674233b3b218da5349e0c3957c8db0d5b6e0d61691b049b827f71814,3bb7209768baa1f929fbc891f1d5fe96e11b83622e488a3e9c893218925531b3,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",9ee14477cbe14edbff30daa1d7de17ff8aa43cb2281b2f874ef47c02ceef0cc4
weather_2050_rcp_2_6_pvgis_2017,rcp_2_6,pvgis_2017,2017,2041-2060,8760,75495e20533eb92a0b60b3b0f9b3276bdcdd14f34f86f56f37d05f4c5d70ee08,6f0afef14db66fd3d0f99e4b0ea8fee091aae5a46cb1f71777125b2ed3acf91c,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",ce8292cf44c71202f20850e4411ffaf4524e7f27556f3d528291d8beeb3126f7
weather_2050_rcp_2_6_pvgis_2018,rcp_2_6,pvgis_2018,2018,2041-2060,8760,361cfb1e9f393986f1657d401f9edc07c384bacc5637032fe2af2f369a0dd1b9,cfa53027b58540f13238ab6bcdb72951efd8d12b134f82d4d30e9d70d4e18c79,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",b2f8acfcac53048a85bc91d9b439fa662d42845e88127ad0247d44ba1fb9492e
weather_2050_rcp_2_6_pvgis_2019,rcp_2_6,pvgis_2019,2019,2041-2060,8760,e810926c4f372f1bd10fb4780ab6f22703406f2cd9853eb7622f1ad4ea669f3f,b4e73926f4076dc69dc111dad3f04cfb188fb30b7d9ae49f5d724a8389fd5b44,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",79804db956bdca8829cb799649e3a187fed38c869f09a0156b5c1e74818fc087
weather_2050_rcp_2_6_pvgis_2020,rcp_2_6,pvgis_2020,2020,2041-2060,8784,3c4e4ea181572b05580b0522123962d9b9d4a062d16b2922a072bedc0541726c,ecd9530d6ca219f70afb5c54f915f669102b3e4c54ffaedc6b0a60024c543765,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",cfca37435fcfee8d6de068b87f2826e1d0ecbd17ff43d9ce08974cb45dafecff
weather_2050_rcp_2_6_pvgis_2021,rcp_2_6,pvgis_2021,2021,2041-2060,8760,3295e9ebb54531a6d44a9d5f769c0c1773eafb4c2e4201e19fd5f6a8a8230f0e,e2c297bf7eb736ffc65992fadeca113bfa998ea15340d135b2cc995b463542b8,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",87a3e374db7ac2ab62bc5bc76a77c55fe5ae31e87eb708c82393097e82d49c7e
weather_2050_rcp_2_6_pvgis_2022,rcp_2_6,pvgis_2022,2022,2041-2060,8760,e8a1da6f442ede1c04390ff8dd3e4a2f06824905c0de14d928de9f1c8d0859ef,1b73affcca449e397490e6da28ee295d83d76bdf6a083a295b1cfff40437d2e3,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",a4a1b3c31e2070cf4970f5ba9c32bd89f6c01b64709c68e90a9274de29f0f756
weather_2050_rcp_2_6_pvgis_2023,rcp_2_6,pvgis_2023,2023,2041-2060,8760,fd1c31ac67160dbb505ed1aa56b5ea83bb61f706541fe689a24d9677800ef562,568ddfcba233db2a8286f3a07306058830326fd9b825a0e452d4db11be3f3acd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",a6b489d25ba5c2733dcf758ea2fa1064ef522cbbbc48e5b288fb916472df2f1a
weather_2050_rcp_4_5_pvgis_2006,rcp_4_5,pvgis_2006,2006,2041-2060,8760,4532539918eae5a7adc55a106f6f30efcee5dca92624787d73e663edccdd120a,7e5cb2b8bc716da41989486af2b9b66b08254a28cb67fa4385885e2b7e406e2a,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",d47b4a9b816feb25e37371233c40f9fe7c9dce6142ade640161bbd28046c5790
weather_2050_rcp_4_5_pvgis_2007,rcp_4_5,pvgis_2007,2007,2041-2060,8760,a86e67023dbeaf2008aa7b31e781c5a9b5492437a47092ade815b7232bf5976d,dd7728bf51ee2088102ff6cfa28d4f7653a7df839dc31c1f6331ad44ee19dd23,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",cdf0e6c458b8e0497899f624f1838160ce50adb0caef06d4d94ba369dc284df0
