member_id,scenario,observed_pvgis_year,climate_target,is_leap_year,row_count,timestamp_start_utc,timestamp_end_utc,member_path,member_sha256,metadata_path,metadata_sha256,T_min_C,T_max_C,T_mean_C,I_solar_min_W_m2,I_solar_max_W_m2,I_solar_mean_W_m2
weather_2050_rcp_2_6_pvgis_2016,rcp_2_6,2016,2041-2060,True,8784,2016-01-01T00:00:00+00:00,2016-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2016.csv,f85555e6674233b3b218da5349e0c3957c8db0d5b6e0d61691b049b827f71814,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2016.metadata.json,3bb7209768baa1f929fbc891f1d5fe96e11b83622e488a3e9c893218925531b3,-5.5414551798,32.1949005411,11.7043803002,0.0000000000,960.3502283110,124.5555781205
weather_2050_rcp_2_6_pvgis_2017,rcp_2_6,2017,2041-2060,False,8760,2017-01-01T00:00:00+00:00,2017-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2017.csv,75495e20533eb92a0b60b3b0f9b3276bdcdd14f34f86f56f37d05f4c5d70ee08,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2017.metadata.json,6f0afef14db66fd3d0f99e4b0ea8fee091aae5a46cb1f71777125b2ed3acf91c,-5.0214551798,33.7863096336,12.1851525364,0.0000000000,996.7105224754,128.8620746080
weather_2050_rcp_2_6_pvgis_2018,rcp_2_6,2018,2041-2060,False,8760,2018-01-01T00:00:00+00:00,2018-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2018.csv,361cfb1e9f393986f1657d401f9edc07c384bacc5637032fe2af2f369a0dd1b9,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2018.metadata.json,cfa53027b58540f13238ab6bcdb72951efd8d12b134f82d4d30e9d70d4e18c79,-6.9054025742,35.4649005411,12.6504755958,0.0000000000,975.1802678581,141.6809192828
weather_2050_rcp_2_6_pvgis_2019,rcp_2_6,2019,2041-2060,False,8760,2019-01-01T00:00:00+00:00,2019-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2019.csv,e810926c4f372f1bd10fb4780ab6f22703406f2cd9853eb7622f1ad4ea669f3f,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2019.metadata.json,b4e73926f4076dc69dc111dad3f04cfb188fb30b7d9ae49f5d724a8389fd5b44,-4.4154025742,38.4762919360,12.3009025364,0.0000000000,998.8493633086,135.1932247555
weather_2050_rcp_2_6_pvgis_2020,rcp_2_6,2020,2041-2060,True,8784,2020-01-01T00:00:00+00:00,2020-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2020.csv,3c4e4ea181572b05580b0522123962d9b9d4a062d16b2922a072bedc0541726c,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2020.metadata.json,ecd9530d6ca219f70afb5c54f915f669102b3e4c54ffaedc6b0a60024c543765,-2.3051832499,35.6862919360,12.9396102638,0.0000000000,982.8080570596,140.8419628160
weather_2050_rcp_2_6_pvgis_2021,rcp_2_6,2021,2041-2060,False,8760,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2021.csv,3295e9ebb54531a6d44a9d5f769c0c1773eafb4c2e4201e19fd5f6a8a8230f0e,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2021.metadata.json,e2c297bf7eb736ffc65992fadeca113bfa998ea15340d135b2cc995b463542b8,-10.4954025742,30.7963096336,11.3470178332,0.0000000000,988.1551591426,129.8656535002
weather_2050_rcp_2_6_pvgis_2022,rcp_2_6,2022,2041-2060,False,8760,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2022.csv,e8a1da6f442ede1c04390ff8dd3e4a2f06824905c0de14d928de9f1c8d0859ef,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2022.metadata.json,1b73affcca449e397490e6da28ee295d83d76bdf6a083a295b1cfff40437d2e3,-5.2320340392,37.4762919360,12.9137518515,0.0000000000,987.0857387260,145.6830567689
weather_2050_rcp_2_6_pvgis_2023,rcp_2_6,2023,2041-2060,False,8760,2023-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2023.csv,fd1c31ac67160dbb505ed1aa56b5ea83bb61f706541fe689a24d9677800ef562,data/processed/ensemble_2050/rcp_2_6/weather_2050_rcp_2_6_pvgis_2023.metadata.json,568ddfcba233db2a8286f3a07306058830326fd9b825a0e452d4db11be3f3acd,-3.9554025742,31.6475121053,12.7944573309,0.0000000000,983.8774774762,133.7884131563
weather_2050_rcp_4_5_pvgis_2006,rcp_4_5,2006,2041-2060,False,8760,2006-01-01T00:00:00+00:00,2006-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2006.csv,4532539918eae5a7adc55a106f6f30efcee5dca92624787d73e663edccdd120a,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2006.metadata.json,7e5cb2b8bc716da41989486af2b9b66b08254a28cb67fa4385885e2b7e406e2a,-5.3443043819,34.5512933842,11.8095341616,0.0000000000,956.6194449847,127.8927384258
weather_2050_rcp_4_5_pvgis_2007,rcp_4_5,2007,2041-2060,False,8760,2007-01-01T00:00:00+00:00,2007-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2007.csv,a86e67023dbeaf2008aa7b31e781c5a9b5492437a47092ade815b7232bf5976d,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2007.metadata.json,dd7728bf51ee2088102ff6cfa28d4f7653a7df839dc31c1f6331ad44ee19dd23,-4.0338360760,28.7812933842,11.8446802803,0.0000000000,959.7286836007,123.3006675883
