archetype_id,state_id,climate_scenario_id,model_scenario_id,metric,component,weather_member_count,occupant_seed_count,sum_of_squares,total_sum_of_squares,sum_of_squares_share,interpretation
BE_TABULA_11,TABULA_existing,rcp_4_5,central,heating_intensity_kWh_m2,occupant_seed,2,3,5.5821562126610713,3633.6384679979483,0.0015362442526475981,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,central,heating_intensity_kWh_m2,weather_seed_interaction,2,3,0.079718257753894073,3633.6384679979483,2.1938962408061748e-05,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,central,cooling_intensity_kWh_m2,weather_year,2,3,0.00022139824413566149,0.0041124128204186022,0.053836580568077642,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,central,cooling_intensity_kWh_m2,occupant_seed,2,3,0.001215617846852616,0.0041124128204186022,0.29559723207187122,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,central,cooling_intensity_kWh_m2,weather_seed_interaction,2,3,0.0026753967294303161,0.0041124128204186022,0.65056618736004901,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,central,peak_heating_W,weather_year,2,3,12409493.182964364,12885497.503105514,0.9630589102185283,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,central,peak_heating_W,occupant_seed,2,3,11026.946436357375,12885497.503105514,0.00085576412037639902,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,central,peak_heating_W,weather_seed_interaction,2,3,464977.37370479282,12885497.503105514,0.036085325661095298,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,central,peak_cooling_W,weather_year,2,3,88815.525010503858,242544.48934852408,0.36618240739693936,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,central,peak_cooling_W,occupant_seed,2,3,26578.767078075558,242544.48934852408,0.10958305896566145,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,central,peak_cooling_W,weather_seed_interaction,2,3,127150.19725994547,242544.48934852408,0.52423453363740258,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,heating_intensity_kWh_m2,weather_year,2,3,3631.0410849178638,3636.8665908195153,0.9983982074249419,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,heating_intensity_kWh_m2,occupant_seed,2,3,5.7696925727325112,3636.8665908195153,0.0015864460322236879,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,heating_intensity_kWh_m2,weather_seed_interaction,2,3,0.055813328917210012,3636.8665908195153,1.5346542833905076e-05,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,cooling_intensity_kWh_m2,weather_year,2,3,0.028401138657253452,0.031773720939094849,0.89385623772846445,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,cooling_intensity_kWh_m2,occupant_seed,2,3,0.001765641949453015,0.031773720939094849,0.055569253372542322,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,cooling_intensity_kWh_m2,weather_seed_interaction,2,3,0.0016069403323883101,0.031773720939094849,0.050574508898991032,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,peak_heating_W,weather_year,2,3,13267001.598546326,13911664.818765262,0.95366023918651643,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,peak_heating_W,occupant_seed,2,3,6641.2424263342818,13911664.818765262,0.00047738660418097462,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,peak_heating_W,weather_seed_interaction,2,3,638021.97779258026,13911664.818765262,0.045862374209301018,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,peak_cooling_W,weather_year,2,3,566608.25984056282,631751.38077958883,0.89688487762600755,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,peak_cooling_W,occupant_seed,2,3,1195.8421590064268,631751.38077958883,0.0018928999530333326,balanced ANOVA share within included empirical ensemble
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,peak_cooling_W,weather_seed_interaction,2,3,63947.278780021312,631751.38077958883,0.10122222242096186,balanced ANOVA share within included empirical ensemble
