archetype_id,climate_scenario_id,weather_member_id,occupant_seed,model_scenario_id,baseline_state_id,comparison_state_id,metric,baseline_value,comparison_value,delta
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,2404203277,central,TABULA_existing,TABULA_advanced_A_proxy,peak_heating_W,22356.965609959912,8183.5478610415057,-14173.417748918408
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,2404203277,central,TABULA_existing,TABULA_advanced_A_proxy,peak_cooling_W,7575.6128757906999,4429.5073832215539,-3146.105492569146
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,annual_heating_kWh,53197.42381100342,10169.988073507624,-43027.435737495798
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,annual_cooling_kWh,278.09565397681951,624.2039755854953,346.10832160867579
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,heating_intensity_kWh_m2,223.14355625420896,42.659345945921238,-180.48421030828771
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,cooling_intensity_kWh_m2,1.1665086156745785,2.6183052667176816,1.4517966510431031
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,peak_heating_W,21988.497105513681,7963.0021199381254,-14025.494985575555
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,peak_cooling_W,6897.8691307439094,4102.6157820332537,-2795.2533487106557
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,central,TABULA_existing,TABULA_advanced_A_proxy,annual_heating_kWh,41278.906105183851,6724.819417300665,-34554.086687883188
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,central,TABULA_existing,TABULA_advanced_A_proxy,annual_cooling_kWh,356.88738389738097,770.05582665588872,413.16844275850775
