archetype_id,state_id,climate_scenario_id,weather_member_id,weather_pair_id,observed_pvgis_year,occupant_seed,baseline_model_scenario_id,comparison_model_scenario_id,comparison_model_scenario_axis,metric,baseline_value,comparison_value,delta
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,annual_cooling_kWh,742.54957864901451,624.2039755854953,-118.34560306351921
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,heating_intensity_kWh_m2,42.832201266916904,42.659345945921238,-0.17285532099566581
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,cooling_intensity_kWh_m2,3.1147213869505643,2.6183052667176816,-0.49641612023288273
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,peak_heating_W,8183.5478610415057,7963.0021199381254,-220.54574110338035
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,peak_cooling_W,4429.5073832215539,4102.6157820332537,-326.89160118830023
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,annual_heating_kWh,53423.005299112701,53197.42381100342,-225.58148810928105
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,annual_cooling_kWh,366.86258906362616,278.09565397681951,-88.766935086806654
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,heating_intensity_kWh_m2,224.08978732849286,223.14355625420896,-0.94623107428390085
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,cooling_intensity_kWh_m2,1.5388531420454117,1.1665086156745785,-0.37234452637083315
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,peak_heating_W,22356.965609959912,21988.497105513681,-368.46850444623124
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2404203277,central,mass_heavy,thermal_mass,peak_cooling_W,7575.6128757906999,6897.8691307439094,-677.74374504679054
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,annual_heating_kWh,6724.819417300665,6696.8857572332154,-27.933660067449637
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,annual_cooling_kWh,770.05582665588872,636.05226059081599,-134.00356606507273
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,heating_intensity_kWh_m2,28.208135139683996,28.090963746783622,-0.11717139290037437
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,cooling_intensity_kWh_m2,3.2300999440263789,2.6680044487869798,-0.56209549523939906
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,peak_heating_W,7606.85692057693,7464.1685069550203,-142.6884136219096
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,peak_cooling_W,4639.1029600661495,4221.3792537449381,-417.72370632121147
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,annual_heating_kWh,41278.906105183851,41034.211347758581,-244.69475742526993
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,annual_cooling_kWh,356.88738389738097,231.38027157917426,-125.50711231820671
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,heating_intensity_kWh_m2,173.14977393114032,172.12336974730948,-1.0264041838308344
