archetype_id,state_id,climate_scenario_id,model_scenario_id,metric,sample_count,weather_member_count,occupant_seed_count,minimum,p05,p25,median,mean,p75,p95,maximum,standard_deviation,interval_interpretation
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,central,annual_heating_kWh,6,2,3,6722.568831641117,6723.1314780560042,6728.3479707278602,8457.2730383274902,8460.1882115152894,10184.901732507877,10205.397126890241,10211.19678203299,1896.7119882767215,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,central,annual_cooling_kWh,6,2,3,727.48629521398982,730.89929067967876,741.49110246981286,756.30270265245167,764.58452455327563,777.80310501372082,814.51511172651226,825.89163859101689,35.91577138002679,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,central,heating_intensity_kWh_m2,6,2,3,28.198694763595288,28.201054857617464,28.222936118824915,35.475138583588461,35.487366659040646,42.721903240385387,42.807873854405372,42.832201266916904,7.9560066622345706,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,central,cooling_intensity_kWh_m2,6,2,3,3.0515364732130443,3.0658527293610685,3.1102814700914969,3.1724106654884716,3.207149851314075,3.2625969170038625,3.4165902337521485,3.4643105645596344,0.15065340343970962,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,central,peak_heating_W,6,2,3,7230.9129633720386,7249.4898994743171,7380.6297609800977,7793.7516456652247,7772.0062895429801,8132.8224884695092,8289.5266505599229,8324.8529137327278,459.66979876306021,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,central,peak_cooling_W,6,2,3,4429.5073832215539,4455.7154962128225,4560.5306164065096,4670.907024133845,4631.0801527386629,4723.4848887142689,4745.4099928744872,4750.4101608709234,125.92981748872613,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,central,heating_full_load_equivalent_hours,6,2,3,884.04704959149296,893.09571591141923,923.17170054316171,1077.1395213769524,1080.4878801388502,1241.407878931022,1269.3839167908395,1276.5880967734265,185.94759687670003,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,central,cooling_full_load_equivalent_hours,6,2,3,153.78928545685744,154.74148615429812,159.26794254961177,165.13495191743419,165.23931224004517,167.22589183035339,178.51541876892171,182.14153958688098,9.8226075397541699,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,mass_heavy,annual_heating_kWh,6,2,3,6685.6371631961301,6688.4493117054017,6697.0860556306079,8417.5033002113305,8421.880390648812,10142.153474549905,10163.432242514031,10169.988073507624,1893.4882157287627,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,mass_heavy,annual_cooling_kWh,6,2,3,614.00284398554732,616.55312688553431,624.7038467923976,631.1278605019603,640.96044798262153,645.099569466292,684.91744094484943,697.18480822931565,29.872133897624121,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,mass_heavy,heating_intensity_kWh_m2,6,2,3,28.043780046963633,28.055575971918628,28.091803924625033,35.308319212295842,35.326679490976566,42.542590077810004,42.631846654840729,42.659345945921238,7.9424841263790373,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,mass_heavy,cooling_intensity_kWh_m2,6,2,3,2.5755152851742755,2.5862127805601269,2.6204020419144194,2.6473484081458065,2.6885924831485801,2.7059545699089429,2.8729758428894687,2.9244329204249815,0.12530257507392664,descriptive empirical interval over included weather years and seeds
