timestamp_utc,T_out_C,theta_air_C,theta_surface_C,theta_mass_C,theta_operative_C,theta_air_free_running_C,Phi_internal_W,Phi_solar_W,heating_demand_W,cooling_demand_W,theta_set_heat_C,theta_set_cool_C,H_ve_W_K,hrv_bypass_active
2015-01-01T00:00:00+00:00,1.460875487,18.000000000000004,17.191561771378435,17.047076048621044,17.434093239964906,14.910259717553995,22.235975679313658,0,7034.0172185541323,0,18,26,245.05384000000001,False
2015-01-01T01:00:00+00:00,1.150875487,18,16.887214654977413,16.535183756945955,17.221050258484187,14.382095489904549,22.235975679313658,0,8236.4212822929348,0,18,26,245.05384000000001,False
2015-01-01T02:00:00+00:00,0.91087548699999998,18.000000000000004,16.642811702703895,16.12388171067186,17.049968191892727,13.958920991188382,22.235975679313658,0,9199.8086347295866,0,18,26,245.05384000000001,False
2015-01-01T03:00:00+00:00,0.77087548699999997,17.999999999999996,16.448021753427135,15.794742304479326,16.913615227398992,13.62716948127119,22.235975679313658,0,9955.0649409947346,0,18,26,245.05384000000001,False
2015-01-01T04:00:00+00:00,0.73087548700000005,17.999999999999996,16.294808124150801,15.534035992525144,16.806365686905558,13.373775243192588,22.235975679313658,0,10531.935250727131,0,18,26,245.05384000000001,False
2015-01-01T05:00:00+00:00,0.78087548699999998,20.000000000000004,17.096171101357793,15.516000856884677,17.967319770950457,13.331068923065359,549.90340509991893,0,15182.303927297417,0,20,26,245.05384000000001,False
2015-01-01T06:00:00+00:00,0.81087548700000001,20.000000000000004,17.198865718816943,15.689363989886914,18.039206003171859,13.508445551712484,582.64320176086562,0,14778.493203411839,0,20,26,245.05384000000001,False
2015-01-01T07:00:00+00:00,1.880875487,19.999999999999993,17.338669114778842,15.864049484481011,18.137068380345188,14.052512146910145,1500.5724173672509,0,13539.886249810257,0,20,26,245.05384000000001,False
2015-01-01T08:00:00+00:00,1.920875487,17.999999999999996,16.495388817333737,15.84075288556083,16.946772172133613,13.827964770409244,22.235975679313658,64.017655702806522,9497.9399427461794,0,18,26,245.05384000000001,False
2015-01-01T09:00:00+00:00,2.2708754870000001,19.999999999999993,17.486654786134643,15.911838831771938,18.240658350294247,14.05870533714773,242.19161837388748,3087.3602850746538,13525.787004311709,0,20,26,245.05384000000001,False
2015-01-01T10:00:00+00:00,2.7208754869999998,19.999999999999996,17.761791430981393,16.29521965028604,18.433254001686972,14.740220471822926,1088.0306628763597,3610.0640042823502,11974.268509619482,0,20,26,245.05384000000001,False
2015-01-01T11:00:00+00:00,3.420875487,20.000000000000007,17.945394338517179,16.632847691795675,18.561776036962026,15.000325582291968,570.16400455268945,3337.6787689399521,11382.120413526207,0,20,26,245.05384000000001,False
2015-01-01T12:00:00+00:00,3.940875487,19.999999999999996,18.107054672663946,16.902363361484369,18.674938270864761,15.379249623616561,843.94245782929761,3114.6289405241132,10519.472427757217,0,20,26,245.05384000000001,False
2015-01-01T13:00:00+00:00,4.3008754869999999,20.000000000000007,18.169233755488698,17.090859865903568,18.718463628842088,15.415203352220747,370.93675169806568,2195.7208136621884,10437.621164235221,0,20,26,245.05384000000001,False
2015-01-01T14:00:00+00:00,4.210875487,17.999999999999996,17.276159672850035,17.000869916620072,17.493311770995021,15.350641499799741,53.341073476171715,1490.1885692178082,6031.4562406450459,0,18,26,245.05384000000001,False
2015-01-01T15:00:00+00:00,3.7008754869999998,20.000000000000011,18.004604234131204,16.890563672423188,18.603222963891845,15.185414809523897,837.38128440674677,1137.85826803024,10960.751401148396,0,20,26,245.05384000000001,False
2015-01-01T16:00:00+00:00,3.150875487,19.999999999999996,17.982219212620709,16.932172679532115,18.587553448834495,15.226308115774861,1458.8347394143041,0,10867.654831858343,0,20,26,245.05384000000001,False
2015-01-01T17:00:00+00:00,2.8408754869999999,19.999999999999996,17.972859700152544,16.920420946306994,18.581001790106779,15.198799032998187,1554.7973934748563,0,10930.281248394744,0,20,26,245.05384000000001,False
2015-01-01T18:00:00+00:00,2.7908754870000001,20,17.931581862639639,16.889260475197226,18.552107303847748,14.915459883821972,594.77040842785857,0,11575.323314007517,0,20,26,245.05384000000001,False
2015-01-01T19:00:00+00:00,3.3508754870000002,20.000000000000004,17.913314666041941,16.855306607305273,18.53932026622936,14.880776708568808,297.61222849571249,0,11654.282070933137,0,20,26,245.05384000000001,False
2015-01-01T20:00:00+00:00,3.2708754870000001,20.000000000000007,17.901062855380097,16.834936504472992,18.53074399876607,14.860639764896709,335.82624864481789,0,11700.125279607793,0,20,26,245.05384000000001,False
2015-01-01T21:00:00+00:00,3.0708754869999999,20.000000000000018,17.915908435639821,16.828821300085441,18.541135904947879,15.066370096429651,1260.6760073519379,0,11231.765300420189,0,20,26,245.05384000000001,False
2015-01-01T22:00:00+00:00,3.1408754870000002,20.000000000000007,17.911534849437558,16.831486934486183,18.538074394606291,15.000574305855405,959.16540251877723,0,11381.554176345102,0,20,26,245.05384000000001,False
2015-01-01T23:00:00+00:00,3.2908754870000001,17.999999999999993,16.981927771699862,16.64147157213646,17.287349440189899,14.766429256535947,22.235975679313658,0,7361.4576656044364,0,18,26,245.05384000000001,False
2015-01-02T00:00:00+00:00,3.5108754869999999,18.000000000000004,16.790839110105654,16.309316112579211,17.153587377073958,14.479446120194449,22.235975679313658,0,8014.7955315504923,0,18,26,245.05384000000001,False
