member_id,scenario,weather_pair_id,observed_pvgis_year,row_count,member_sha256,metadata_sha256,weather_contract_sha256
weather_2050_rcp_4_5_pvgis_2010,rcp_4_5,pvgis_2010,2010,8760,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9
weather_2050_rcp_4_5_pvgis_2015,rcp_4_5,pvgis_2015,2015,8760,baba3dbca59061fa472eb7c69224dd3b984b50c1fc619afd2053a2950c2bbcd4,1216ce43ee394579ef927a986e1b8dd3776da86efac22904513f8ccada53f4bc,e911761c820080027eba08f44ea8eccf1d70cd6d860a102565a1508f4ed19caf
