scenario,target_year,region,archetype_id,dwelling_type,construction_period,renovation_state,state_dwellings,regional_modelled_stock_dwellings,heating_variant_id,variant_share,variant_dwellings,energy_carrier,space_heating_system,dhw_system,heat_emitter,supply_temperature_c,ventilation_system,hrv_eta,summer_bypass,reversible_cooling_capable,source_id,assumption_id
low,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,as_is_TABULA,133235.85422915834,3244134,as_is_other,0.066,8793.566379124451,other,biomass_propane_district_or_other_lumped,other_or_unknown_DHW,unknown_or_hydronic_emitters,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,renovated_TABULA_low_energy,32780.50830784166,3244134,renovated_air_water_heat_pump,1,32780.50830784166,electricity_plus_ambient_heat,air_water_heat_pump,heat_pump_DHW_tank_or_integrated_HP_DHW,low_temperature_radiators,45,balanced_mechanical_HRV,0.80,true,true,EC_EPBD_45C_GUIDANCE,RENOVATED_TECHNOLOGY_PACKAGE_V1
low,2050,Flemish Region,BE_TABULA_04,"Apartment, enclosed",pre-1946,as_is_TABULA,95356.72211115899,3244134,as_is_electricity,0.075,7151.754158336924,electricity,electric_resistance_or_existing_heat_pump_unspecified,electric_DHW_unspecified,direct_electric_or_hydronic_unspecified,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_04,"Apartment, enclosed",pre-1946,as_is_TABULA,95356.72211115899,3244134,as_is_gas,0.712,67893.9861431452,gas,gas_boiler_unspecified,gas_DHW_or_combiboiler,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_04,"Apartment, enclosed",pre-1946,as_is_TABULA,95356.72211115899,3244134,as_is_oil,0.147,14017.438150340371,oil,oil_boiler_unspecified,oil_DHW_or_separate_tank,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_04,"Apartment, enclosed",pre-1946,as_is_TABULA,95356.72211115899,3244134,as_is_other,0.066,6293.543659336494,other,biomass_propane_district_or_other_lumped,other_or_unknown_DHW,unknown_or_hydronic_emitters,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_04,"Apartment, enclosed",pre-1946,renovated_TABULA_low_energy,23460.965814841005,3244134,renovated_air_water_heat_pump,1,23460.965814841005,electricity_plus_ambient_heat,air_water_heat_pump,heat_pump_DHW_tank_or_integrated_HP_DHW,low_temperature_radiators,45,balanced_mechanical_HRV,0.80,true,true,EC_EPBD_45C_GUIDANCE,RENOVATED_TECHNOLOGY_PACKAGE_V1
low,2050,Flemish Region,BE_TABULA_05,"Apartment, exposed",pre-1946,as_is_TABULA,95356.72211115899,3244134,as_is_electricity,0.075,7151.754158336924,electricity,electric_resistance_or_existing_heat_pump_unspecified,electric_DHW_unspecified,direct_electric_or_hydronic_unspecified,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_05,"Apartment, exposed",pre-1946,as_is_TABULA,95356.72211115899,3244134,as_is_gas,0.712,67893.9861431452,gas,gas_boiler_unspecified,gas_DHW_or_combiboiler,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_05,"Apartment, exposed",pre-1946,as_is_TABULA,95356.72211115899,3244134,as_is_oil,0.147,14017.438150340371,oil,oil_boiler_unspecified,oil_DHW_or_separate_tank,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
