scenario,base_year,target_year,ARR,renovation_depth,depth_share,region,priority_rank_within_region_and_depth,archetype_id,dwelling_type,construction_period,source_state_id,destination_state_id,specific_heat_loss_z_W_m2K,initial_source_state_dwellings_2025,allocated_renovations_2025_2050,first_allocation_year,last_allocation_year,annual_regional_depth_quota_dwellings,nominal_depth_quota_to_2050_dwellings,applied_depth_renovations_to_2050_dwellings,unused_depth_quota_to_2050_dwellings,priority_metric,priority_tie_break,transition_event_definition,unique_dwelling_count_available
central,2025,2050,0.028,advanced,0.1,Flemish Region,16,BE_TABULA_04,"Apartment, enclosed",pre-1946,TABULA_existing,TABULA_advanced_A_proxy,1.84376583417,53835.1448708,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,17,BE_TABULA_09,"Apartment, enclosed",1946-1970,TABULA_existing,TABULA_advanced_A_proxy,1.75435524476,72522.9907542,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,18,BE_TABULA_18,Terraced house,1991-2005,TABULA_existing,TABULA_advanced_A_proxy,1.64041623173,22623.4868879,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,19,BE_TABULA_06,Detached house,1946-1970,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.45970907549,44924.5678799,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,20,BE_TABULA_11,Detached house,1971-1990,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.4506057047,66428.2323842,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,21,BE_TABULA_21,Detached house,post-2005,TABULA_existing,TABULA_advanced_A_proxy,1.44392964577,80509.832346,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,22,BE_TABULA_21,Detached house,post-2005,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.44046346439,25669.8016176,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,23,BE_TABULA_16,Detached house,1991-2005,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.41114183437,41920.8005913,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,24,BE_TABULA_12,Semi-detached house,1971-1990,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.40061953589,26404.6375966,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,25,BE_TABULA_01,Detached house,pre-1946,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.33953261649,23680.997527,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
