region,archetype_id,dwelling_type,construction_period,baseline_state,renovation_priority,renovation_share_2025,annual_renovation_rate_low,annual_renovation_rate_central,annual_renovation_rate_high,renovation_rate_scenario_meaning,target_label_2050,target_energy_score_2050_kWh_m2_year,policy_source,policy_target_note
Walloon Region,BE_TABULA_14,"Apartment, enclosed",1971-1990,TABULA-as-is,high,0,0.008,0.03,0.04,low = conservative current-rate proxy below 1%; central = policy-compatible assumption; high = accelerated,average decarbonised PEB label A,85,https://energie.wallonie.be/files/PEB/B%C3%A2timents%20non%20r%C3%A9sidentiels/Obligation/SRLT/gw-201112-strategie-renovation-2020-rapport-complet-final.pdf,"85 kWh/m²·year is the upper threshold of PEB label A / qZEN-level performance; the regional 2050 target is phrased as average decarbonised PEB label A, not merely a numerical energy-score target."
Walloon Region,BE_TABULA_15,"Apartment, exposed",1971-1990,TABULA-as-is,high,0,0.008,0.03,0.04,low = conservative current-rate proxy below 1%; central = policy-compatible assumption; high = accelerated,average decarbonised PEB label A,85,https://energie.wallonie.be/files/PEB/B%C3%A2timents%20non%20r%C3%A9sidentiels/Obligation/SRLT/gw-201112-strategie-renovation-2020-rapport-complet-final.pdf,"85 kWh/m²·year is the upper threshold of PEB label A / qZEN-level performance; the regional 2050 target is phrased as average decarbonised PEB label A, not merely a numerical energy-score target."
Walloon Region,BE_TABULA_16,Detached house,1991-2005,TABULA-as-is,medium,0,0.008,0.03,0.04,low = conservative current-rate proxy below 1%; central = policy-compatible assumption; high = accelerated,average decarbonised PEB label A,85,https://energie.wallonie.be/files/PEB/B%C3%A2timents%20non%20r%C3%A9sidentiels/Obligation/SRLT/gw-201112-strategie-renovation-2020-rapport-complet-final.pdf,"85 kWh/m²·year is the upper threshold of PEB label A / qZEN-level performance; the regional 2050 target is phrased as average decarbonised PEB label A, not merely a numerical energy-score target."
Walloon Region,BE_TABULA_17,Semi-detached house,1991-2005,TABULA-as-is,medium,0,0.008,0.03,0.04,low = conservative current-rate proxy below 1%; central = policy-compatible assumption; high = accelerated,average decarbonised PEB label A,85,https://energie.wallonie.be/files/PEB/B%C3%A2timents%20non%20r%C3%A9sidentiels/Obligation/SRLT/gw-201112-strategie-renovation-2020-rapport-complet-final.pdf,"85 kWh/m²·year is the upper threshold of PEB label A / qZEN-level performance; the regional 2050 target is phrased as average decarbonised PEB label A, not merely a numerical energy-score target."
Walloon Region,BE_TABULA_18,Terraced house,1991-2005,TABULA-as-is,medium,0,0.008,0.03,0.04,low = conservative current-rate proxy below 1%; central = policy-compatible assumption; high = accelerated,average decarbonised PEB label A,85,https://energie.wallonie.be/files/PEB/B%C3%A2timents%20non%20r%C3%A9sidentiels/Obligation/SRLT/gw-201112-strategie-renovation-2020-rapport-complet-final.pdf,"85 kWh/m²·year is the upper threshold of PEB label A / qZEN-level performance; the regional 2050 target is phrased as average decarbonised PEB label A, not merely a numerical energy-score target."
Walloon Region,BE_TABULA_19,"Apartment, enclosed",1991-2005,TABULA-as-is,medium,0,0.008,0.03,0.04,low = conservative current-rate proxy below 1%; central = policy-compatible assumption; high = accelerated,average decarbonised PEB label A,85,https://energie.wallonie.be/files/PEB/B%C3%A2timents%20non%20r%C3%A9sidentiels/Obligation/SRLT/gw-201112-strategie-renovation-2020-rapport-complet-final.pdf,"85 kWh/m²·year is the upper threshold of PEB label A / qZEN-level performance; the regional 2050 target is phrased as average decarbonised PEB label A, not merely a numerical energy-score target."
Walloon Region,BE_TABULA_20,"Apartment, exposed",1991-2005,TABULA-as-is,medium,0,0.008,0.03,0.04,low = conservative current-rate proxy below 1%; central = policy-compatible assumption; high = accelerated,average decarbonised PEB label A,85,https://energie.wallonie.be/files/PEB/B%C3%A2timents%20non%20r%C3%A9sidentiels/Obligation/SRLT/gw-201112-strategie-renovation-2020-rapport-complet-final.pdf,"85 kWh/m²·year is the upper threshold of PEB label A / qZEN-level performance; the regional 2050 target is phrased as average decarbonised PEB label A, not merely a numerical energy-score target."
Walloon Region,BE_TABULA_21,Detached house,post-2005,TABULA-as-is,low,0,0.008,0.03,0.04,low = conservative current-rate proxy below 1%; central = policy-compatible assumption; high = accelerated,average decarbonised PEB label A,85,https://energie.wallonie.be/files/PEB/B%C3%A2timents%20non%20r%C3%A9sidentiels/Obligation/SRLT/gw-201112-strategie-renovation-2020-rapport-complet-final.pdf,"85 kWh/m²·year is the upper threshold of PEB label A / qZEN-level performance; the regional 2050 target is phrased as average decarbonised PEB label A, not merely a numerical energy-score target."
Walloon Region,BE_TABULA_22,Semi-detached house,post-2005,TABULA-as-is,low,0,0.008,0.03,0.04,low = conservative current-rate proxy below 1%; central = policy-compatible assumption; high = accelerated,average decarbonised PEB label A,85,https://energie.wallonie.be/files/PEB/B%C3%A2timents%20non%20r%C3%A9sidentiels/Obligation/SRLT/gw-201112-strategie-renovation-2020-rapport-complet-final.pdf,"85 kWh/m²·year is the upper threshold of PEB label A / qZEN-level performance; the regional 2050 target is phrased as average decarbonised PEB label A, not merely a numerical energy-score target."
Walloon Region,BE_TABULA_23,Terraced house,post-2005,TABULA-as-is,low,0,0.008,0.03,0.04,low = conservative current-rate proxy below 1%; central = policy-compatible assumption; high = accelerated,average decarbonised PEB label A,85,https://energie.wallonie.be/files/PEB/B%C3%A2timents%20non%20r%C3%A9sidentiels/Obligation/SRLT/gw-201112-strategie-renovation-2020-rapport-complet-final.pdf,"85 kWh/m²·year is the upper threshold of PEB label A / qZEN-level performance; the regional 2050 target is phrased as average decarbonised PEB label A, not merely a numerical energy-score target."
