scenario,target_year,region,archetype_id,dwelling_type,construction_period,renovation_state,regional_number_of_dwellings,regional_modelled_stock_dwellings,allocation_share_within_region,renovated_fraction,state_dwellings,state_share_within_region,annual_renovation_rate_scenario,target_label_2050,target_energy_score_2050_kWh_m2_year,renovation_package_id,U_wall_renovated,U_roof_renovated,U_floor_renovated,U_window_renovated,v50_renovated,ventilation_after_renovation,hrv_eta,summer_bypass,renovation_package_source,policy_source
low,2050,Flemish Region,BE_TABULA_07,Semi-detached house,1946-1970,renovated_TABULA_low_energy,151002.066682,3244134,0.061271376502,0.197453478723,29815.883360735537,0.009190706475,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_08,Terraced house,1946-1970,as_is_TABULA,169311.14568,3244134,0.068700562721,0.197453478724,135880.0709787967,0.041884851544,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_08,Terraced house,1946-1970,renovated_TABULA_low_energy,169311.14568,3244134,0.068700562721,0.197453478724,33431.07470120331,0.010305084408,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_09,"Apartment, enclosed",1946-1970,as_is_TABULA,121175.759801,3244134,0.049168900565,0.197453478724,97249.18449126696,0.029976932054,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_09,"Apartment, enclosed",1946-1970,renovated_TABULA_low_energy,121175.759801,3244134,0.049168900565,0.197453478724,23926.57530973303,0.007375335085,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_10,"Apartment, exposed",1946-1970,as_is_TABULA,121175.759801,3244134,0.049168900565,0.197453478724,97249.18449126696,0.029976932054,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_10,"Apartment, exposed",1946-1970,renovated_TABULA_low_energy,121175.759801,3244134,0.049168900565,0.197453478724,23926.57530973303,0.007375335085,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_11,Detached house,1971-1990,as_is_TABULA,207176.984372,3244134,0.063048900378,0.148090109042,176496.1221653136,0.054404695418,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_11,Detached house,1971-1990,renovated_TABULA_low_energy,207176.984372,3244134,0.063048900378,0.148090109042,30680.86220668641,0.009457335057,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_12,Semi-detached house,1971-1990,as_is_TABULA,140241.376341,3244134,0.042678797515,0.148090109042,119473.0156264196,0.036827398506,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_12,Semi-detached house,1971-1990,renovated_TABULA_low_energy,140241.376341,3244134,0.042678797515,0.148090109042,20768.36071458039,0.006401819627,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_13,Terraced house,1971-1990,as_is_TABULA,157245.716048,3244134,0.047853623876,0.148090109042,133959.1808120985,0.041292739699,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
