timestamp_utc,active_occupants_mean,active_occupancy,appliance_electricity_W,lighting_electricity_W,total_electricity_W,occupant_sensible_gain_W,appliance_sensible_gain_W,lighting_sensible_gain_W,Phi_int_W,theta_set_heat_C,theta_set_cool_C
2015-01-01 00:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-01 01:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-01 02:00:00+00:00,0.16666666666666666,True,55.70044301440787,14.511642560946623,70.2120855753545,11.666666666666666,55.70044301440787,14.511642560946623,81.87875224202116,20.0,26.0
2015-01-01 03:00:00+00:00,0.3333333333333333,True,97.6358828699754,57.87976975458022,155.51565262455563,23.333333333333332,97.6358828699754,57.87976975458022,178.84898595788894,20.0,26.0
2015-01-01 04:00:00+00:00,0.3333333333333333,True,97.6358828699754,23.15190790183209,120.7877907718075,23.333333333333332,97.6358828699754,23.15190790183209,144.12112410514084,20.0,26.0
2015-01-01 05:00:00+00:00,1.5,True,204.60732653443702,147.88531373029056,352.4926402647276,105.0,204.60732653443702,147.88531373029056,457.4926402647276,20.0,26.0
2015-01-01 06:00:00+00:00,2.0,True,192.64595754079977,183.24701744202255,375.89297498282235,140.0,192.64595754079977,183.24701744202255,515.8929749828224,20.0,26.0
2015-01-01 07:00:00+00:00,1.0,True,1038.0119797713053,261.9434882495469,1299.955468020852,70.0,1038.0119797713053,261.9434882495469,1369.955468020852,20.0,26.0
2015-01-01 08:00:00+00:00,0.16666666666666666,True,160.80599986378053,38.697713495857656,199.5037133596382,11.666666666666666,160.80599986378053,38.697713495857656,211.17038002630483,20.0,26.0
2015-01-01 09:00:00+00:00,0.0,False,138.9614875577544,0.0,138.9614875577544,0.0,138.9614875577544,0.0,138.9614875577544,18.0,26.0
2015-01-01 10:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-01 11:00:00+00:00,0.16666666666666666,True,76.93871389086145,2.0016058704753963,78.94031976133685,11.666666666666666,76.93871389086145,2.0016058704753963,90.60698642800352,20.0,26.0
2015-01-01 12:00:00+00:00,0.6666666666666666,True,154.1119469506155,40.615919121729924,194.72786607234542,46.666666666666664,154.1119469506155,40.615919121729924,241.39453273901208,20.0,26.0
2015-01-01 13:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-01 14:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-01 15:00:00+00:00,2.0,True,959.9306344440841,71.44064952705102,1031.3712839711352,140.0,959.9306344440841,71.44064952705102,1171.3712839711352,20.0,26.0
2015-01-01 16:00:00+00:00,2.0,True,274.6930351886001,166.53360842355292,441.226643612153,140.0,274.6930351886001,166.53360842355292,581.226643612153,20.0,26.0
2015-01-01 17:00:00+00:00,2.0,True,791.6947193554639,184.91502233408542,976.6097416895493,140.0,791.6947193554639,184.91502233408542,1116.6097416895493,20.0,26.0
2015-01-01 18:00:00+00:00,2.0,True,746.9957561201697,176.9252789011044,923.9210350212742,140.0,746.9957561201697,176.9252789011044,1063.921035021274,20.0,26.0
2015-01-01 19:00:00+00:00,2.0,True,431.5968731354123,280.0413413284286,711.6382144638409,140.0,431.5968731354123,280.0413413284286,851.638214463841,20.0,26.0
2015-01-01 20:00:00+00:00,2.0,True,135.18238035692747,342.0077230685627,477.1901034254902,140.0,135.18238035692747,342.0077230685627,617.1901034254902,20.0,26.0
2015-01-01 21:00:00+00:00,1.6666666666666667,True,1056.0711185773293,233.38724449743125,1289.4583630747607,116.66666666666667,1056.0711185773293,233.38724449743125,1406.1250297414274,20.0,26.0
2015-01-01 22:00:00+00:00,0.0,False,156.17529804384276,0.0,156.17529804384276,0.0,156.17529804384276,0.0,156.17529804384276,18.0,26.0
2015-01-01 23:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-02 00:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-02 01:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-02 02:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-02 03:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-02 04:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-02 05:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-02 06:00:00+00:00,0.5,True,129.20365893918682,8.456784802758547,137.66044374194536,35.0,129.20365893918682,8.456784802758547,172.66044374194536,20.0,26.0
2015-01-02 07:00:00+00:00,1.1666666666666667,True,1391.9937494024077,66.236474263815,1458.2302236662226,81.66666666666667,1391.9937494024077,66.236474263815,1539.8968903328894,20.0,26.0
2015-01-02 08:00:00+00:00,2.0,True,458.98630911569694,70.37312639613081,529.3594355118278,140.0,458.98630911569694,70.37312639613081,669.3594355118278,20.0,26.0
2015-01-02 09:00:00+00:00,1.6666666666666667,True,746.422109796687,38.68103344693703,785.103143243624,116.66666666666667,746.422109796687,38.68103344693703,901.7698099102906,20.0,26.0
2015-01-02 10:00:00+00:00,0.6666666666666666,True,489.61286321141614,80.39783579742841,570.0106990088445,46.666666666666664,489.61286321141614,80.39783579742841,616.6773656755113,20.0,26.0
2015-01-02 11:00:00+00:00,0.0,False,184.3979408175459,0.0,184.3979408175459,0.0,184.3979408175459,0.0,184.3979408175459,18.0,26.0
2015-01-02 12:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-02 13:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-02 14:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
2015-01-02 15:00:00+00:00,0.0,False,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,0.0,51.04094969712259,18.0,26.0
