dwelling_type,dwelling_class,occupant_count,occupant_count_bin,seed,richardson_seed,weather_member_id,weather_forcing_sha256,richardsonpy_version,prev_heat_dev,annual_electricity_target_kWh,annual_appliance_electricity_kWh,annual_lighting_electricity_kWh,annual_total_electricity_kWh,active_occupant_hours,active_occupancy_hours,mean_internal_gain_W,peak_internal_gain_W,mean_electricity_W,peak_electricity_W,daytime_mean_electricity_W,nighttime_mean_electricity_W,weekday_mean_electricity_W,weekend_mean_electricity_W,behaviour_assumptions_sha256,occupant_distribution_sha256
Detached house,SFH,2,2,20250805,1180736557,pvgis_sarah3_observed_2015_reference,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a,0.2.2,True,3500.0,2989.3811684153357,510.6188315851799,3500.000000000516,6169.666666666667,4963,448.84436834100256,3242.6214451261762,399.5433789954927,3172.6214451261762,536.0301157748772,126.56990543672354,395.24701758765127,410.32559368247917,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896
"Apartment, enclosed",MFH,1,1,20250805,1180736557,pvgis_sarah3_observed_2015_reference,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a,0.2.2,True,3500.0,3098.2202256050077,401.7797743951184,3500.0000000001264,3329.3333333333335,4183,426.14764079149086,3219.3717139110818,399.5433789954482,3149.3717139110818,539.8373716223753,118.95539374159408,398.4248740966671,402.35039609719695,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896
