archetype_id,dwelling_type,dwelling_class,construction_period,state_id,floor_area_m2,occupant_count,active_occupancy_hours,annual_internal_gains_kWh_m2,constant_heating_kWh_m2,behavioural_heating_kWh_m2,heating_change_kWh_m2,heating_change_percent,constant_cooling_kWh_m2,behavioural_cooling_kWh_m2,cooling_change_kWh_m2,cooling_change_percent,constant_peak_heating_W,behavioural_peak_heating_W,constant_peak_cooling_W,behavioural_peak_cooling_W,max_energy_balance_residual_W,max_heating_setpoint_error_K,max_cooling_setpoint_error_K,simultaneous_heating_cooling,warmup_cycles,weather_member_id,occupant_seed,thermal_assumptions_sha256,behaviour_assumptions_sha256,occupant_distribution_sha256,weather_forcing_sha256
BE_TABULA_04,"Apartment, enclosed",MFH,pre-1946,TABULA_standard_B_proxy,100.1,1,4183,37.29324009324136,36.4439337102289,26.42862543038208,-10.015308279846817,-27.481413942523364,4.707657276721636,6.807370009872738,2.099712733151102,44.602072957471535,2206.232632523877,3575.578661521818,2293.195392234873,3900.860722026,4.274625098332763e-11,1.7763568394002505e-14,2.1316282072803006e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_04,"Apartment, enclosed",MFH,pre-1946,TABULA_advanced_A_proxy,100.1,1,4183,37.29324009324136,7.6346829038736885,3.613102385010198,-4.021580518863491,-52.67514799891715,9.479447624022768,13.923187871642243,4.443740247619475,46.877628569392286,978.6835863298011,2362.2326562167186,2033.2753878280682,3656.5305008254427,4.069988790433854e-11,1.0658141036401503e-14,2.4868995751603507e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_05,"Apartment, exposed",MFH,pre-1946,TABULA_existing,100.1,1,4183,37.29324009324136,301.1028779825624,259.8837911907542,-41.219086791808195,-13.6893699150213,1.8438618797805981,2.267869248327989,0.42400736854739085,22.9956144327819,10193.930220815664,11233.825471881013,3703.1077869629275,5349.21763080216,5.7411853049416095e-11,4.263256414560601e-14,4.973799150320701e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_05,"Apartment, exposed",MFH,pre-1946,TABULA_standard_B_proxy,100.1,1,4183,37.29324009324136,80.48064478367773,63.382603975450714,-17.09804080822702,-21.244910318728795,2.293215906998708,3.5107548341593957,1.2175389271606876,53.09307873911296,3599.8948672485108,4963.923978541126,2448.6185080138516,4037.7055966394537,3.9108272176235914e-11,3.197442310920451e-14,2.4868995751603507e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_05,"Apartment, exposed",MFH,pre-1946,TABULA_advanced_A_proxy,100.1,1,4183,37.29324009324136,24.530873534441348,16.8982617783408,-7.632611756100548,-31.114308854042072,5.1648183107133585,7.422286316963351,2.2574680062499928,43.70856573148638,1729.9069553496904,3131.45757070917,2107.495507378699,3734.883457928617,5.047695594839752e-11,1.7763568394002505e-14,1.7763568394002505e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_06,Detached house,SFH,1946-1970,TABULA_existing,235.8,2,4963,16.674625388749714,295.8328441740684,275.6977768899687,-20.135067284099705,-6.806231181096379,1.4408098500774207,1.2785159697267683,-0.1622938803506524,-11.26407348908197,23103.323202075884,25700.73832458273,8277.110976063685,8452.999593295224,1.1641532182693481e-10,4.973799150320701e-14,1.7763568394002505e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_06,Detached house,SFH,1946-1970,TABULA_standard_B_proxy,235.8,2,4963,16.674625388749714,88.18811100956725,86.5223386179433,-1.6657723916239462,-1.8888854433487432,1.3854983473319913,0.9684027125163497,-0.4170956348156416,-30.104376206498475,8488.702564366762,11759.036406256193,4962.632396577333,5018.412412219677,7.526068657170981e-11,3.197442310920451e-14,1.7763568394002505e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_06,Detached house,SFH,1946-1970,TABULA_advanced_A_proxy,235.8,2,4963,16.674625388749714,29.57452693136309,32.343825420639035,2.769298489275947,9.36379640392209,3.3529170143544262,2.3115845409279663,-1.04133247342646,-31.05750810319292,4083.048397118174,7447.218409957902,4211.184877636836,4385.158279985969,1.0913936421275139e-10,2.1316282072803006e-14,1.4210854715202004e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_07,Semi-detached house,SFH,1946-1970,TABULA_existing,193.4,2,4963,20.330282661153994,263.1175180706412,243.25528646054144,-19.86223161009977,-7.548806235230298,1.2265972187261005,1.129829772136495,-0.09676744658960557,-7.889097179765721,16956.881223764194,19163.56503996068,6102.330957784446,6395.035522711767,7.685230229981244e-11,4.263256414560601e-14,1.4210854715202004e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_07,Semi-detached house,SFH,1946-1970,TABULA_standard_B_proxy,193.4,2,4963,20.330282661153994,80.87621530418173,77.3063147448234,-3.569900559358331,-4.414030189137384,1.2183189998790696,0.9447699866260368,-0.2735490132530327,-22.452987541045097,6409.768250836494,9096.706812792501,3765.2505717540434,3981.5551873524487,9.686118573881686e-11,2.842170943040401e-14,1.0658141036401503e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
