timestamp_utc,active_occupants_mean,active_occupancy,appliance_electricity_W,lighting_electricity_W,total_electricity_W,occupant_sensible_gain_W,appliance_sensible_gain_W,lighting_sensible_gain_W,Phi_int_W,theta_set_heat_C,theta_set_cool_C
2015-01-01 00:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-01 01:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-01 02:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-01 03:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-01 04:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-01 05:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-01 06:00:00+00:00,0.8333333333333334,True,188.9297106030279,5.810965432218994,194.7406760352469,58.333333333333336,188.9297106030279,5.810965432218994,253.07400936858025,20.0,26.0
2015-01-01 07:00:00+00:00,1.0,True,1224.123425164555,143.65997874096962,1367.7834039055247,70.0,1224.123425164555,143.65997874096962,1437.7834039055247,20.0,26.0
2015-01-01 08:00:00+00:00,0.16666666666666666,True,199.15241471665937,22.759614609524398,221.91202932618376,11.666666666666666,199.15241471665937,22.759614609524398,233.5786959928504,20.0,26.0
2015-01-01 09:00:00+00:00,0.0,False,182.50063310562777,0.0,182.50063310562777,0.0,182.50063310562777,0.0,182.50063310562777,18.0,26.0
2015-01-01 10:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-01 11:00:00+00:00,0.16666666666666666,True,220.72552196976548,12.10617798378957,232.83169995355505,11.666666666666666,220.72552196976548,12.10617798378957,244.4983666202217,20.0,26.0
2015-01-01 12:00:00+00:00,0.6666666666666666,True,197.0666189014541,74.33193282046798,271.3985517219221,46.666666666666664,197.0666189014541,74.33193282046798,318.06521838858873,20.0,26.0
2015-01-01 13:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-01 14:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-01 15:00:00+00:00,1.0,True,1375.7576106091406,35.269331859440285,1411.0269424685807,70.0,1375.7576106091406,35.269331859440285,1481.0269424685807,20.0,26.0
2015-01-01 16:00:00+00:00,1.0,True,482.19332151178804,173.05781427827193,655.25113579006,70.0,482.19332151178804,173.05781427827193,725.2511357900601,20.0,26.0
2015-01-01 17:00:00+00:00,1.0,True,867.3569013438347,117.06674110324515,984.4236424470798,70.0,867.3569013438347,117.06674110324515,1054.4236424470798,20.0,26.0
2015-01-01 18:00:00+00:00,1.0,True,266.0730559505629,234.71861414237344,500.79167009293633,70.0,266.0730559505629,234.71861414237344,570.7916700929363,20.0,26.0
2015-01-01 19:00:00+00:00,1.0,True,1140.0068381308097,312.46045376160896,1452.4672918924186,70.0,1140.0068381308097,312.46045376160896,1522.4672918924186,20.0,26.0
2015-01-01 20:00:00+00:00,1.0,True,1132.6089929260893,248.82231149348837,1381.4313044195776,70.0,1132.6089929260893,248.82231149348837,1451.4313044195776,20.0,26.0
2015-01-01 21:00:00+00:00,1.0,True,359.60270133375127,157.62243734894022,517.2251386826915,70.0,359.60270133375127,157.62243734894022,587.2251386826915,20.0,26.0
2015-01-01 22:00:00+00:00,0.5,True,172.74896323619825,66.98751817696896,239.7364814131672,35.0,172.74896323619825,66.98751817696896,274.7364814131672,20.0,26.0
2015-01-01 23:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-02 00:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-02 01:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-02 02:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-02 03:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-02 04:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-02 05:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-02 06:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-01-02 07:00:00+00:00,0.16666666666666666,True,61.741507717326826,0.0,61.741507717326826,11.666666666666666,61.741507717326826,0.0,73.4081743839935,20.0,26.0
