timestamp,T_out_C,I_solar_W_m2,scenario,role,window,gcm_model,rcm_model,ensemble_member,source_files
2006-01-12 12:00:00,0.1659484863,54.3943519592,rcp_8_5,baseline,observed_anchor,cnrm_cerfacs_cm5,cnrm_aladin63,r1i1p1,"[""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/tas_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc"",""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/rsds_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc""]"
2006-01-13 12:00:00,-0.7788757324,20.3531017303,rcp_8_5,baseline,observed_anchor,cnrm_cerfacs_cm5,cnrm_aladin63,r1i1p1,"[""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/tas_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc"",""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/rsds_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc""]"
2006-01-14 12:00:00,0.3239685059,30.1274318695,rcp_8_5,baseline,observed_anchor,cnrm_cerfacs_cm5,cnrm_aladin63,r1i1p1,"[""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/tas_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc"",""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/rsds_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc""]"
2006-01-15 12:00:00,-0.1068481445,49.1092720032,rcp_8_5,baseline,observed_anchor,cnrm_cerfacs_cm5,cnrm_aladin63,r1i1p1,"[""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/tas_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc"",""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/rsds_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc""]"
2006-01-16 12:00:00,-0.0415405273,43.4230728149,rcp_8_5,baseline,observed_anchor,cnrm_cerfacs_cm5,cnrm_aladin63,r1i1p1,"[""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/tas_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc"",""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/rsds_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc""]"
2006-01-17 12:00:00,-1.3846801758,65.1038742065,rcp_8_5,baseline,observed_anchor,cnrm_cerfacs_cm5,cnrm_aladin63,r1i1p1,"[""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/tas_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc"",""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/rsds_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc""]"
2006-01-18 12:00:00,-0.5073303223,36.3116226196,rcp_8_5,baseline,observed_anchor,cnrm_cerfacs_cm5,cnrm_aladin63,r1i1p1,"[""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/tas_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc"",""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/rsds_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc""]"
2006-01-19 12:00:00,2.4751220703,34.2535820007,rcp_8_5,baseline,observed_anchor,cnrm_cerfacs_cm5,cnrm_aladin63,r1i1p1,"[""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/tas_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc"",""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/rsds_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc""]"
2006-01-20 12:00:00,4.8454833984,55.4914665222,rcp_8_5,baseline,observed_anchor,cnrm_cerfacs_cm5,cnrm_aladin63,r1i1p1,"[""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/tas_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc"",""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/rsds_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc""]"
2006-01-21 12:00:00,5.5723510742,70.2198638916,rcp_8_5,baseline,observed_anchor,cnrm_cerfacs_cm5,cnrm_aladin63,r1i1p1,"[""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/tas_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc"",""data/raw/cordex/cds/rcp_8_5/baseline_2006_2023/rsds_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_day_20060101-20231231.nc""]"
